country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308,0.37,0.247,0.308,,,,,,,,,,,,,,,,,1.91,,,,,5.8,,,8.14,8.64,11.4,14.5,13.1,13.7,15.4,14.7,46.4,53.2,44.3,60.1,65.2,88,90.4,84.8,103,119,147,150,196,201,236,249,262,298,303,330,338,358,373,403,457,503,532,624,635,730,743,859,964,1120,1270,1300,1260,1230,1370,1220,1390,1560,1570,1660,1620,1680,1910,2070,1870,1720,1830,1680,671,573,523,567,692,764,910,898,1300,1620,1800,1940,2630,3160,3560,3980,4820,5450,6250,6390,6750,6830,8190,7190,4950,6320,5920,6270,7040,8480,9020,10300,11400,12400,13300,14000,15300,17400,19100,20900,22300,23400,24400,25100,26400,28300,30100,31900,33700,35200,36200,37700,39700,42100,44300,46200,48000,50400,52400,54200,56000,56500,58700,57600,58700,59600,60100,64800,65000,67700,69600,68100,63900,61600,56200,48500,42000,33300,31300,29800,31700,28600,29500,28800,29600,30600,32100,34300,39200,30500,35500,31900,30700,33400,35600,35600,37500
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,66,77,80.7,84.3,128,139,176,180,260,411,546,726,708,1090,1320,1090,1710,1630,1750,2570,6730,6490,7870,7390,8250,6460,9720,6610,6930,7990,2800,2260,2020,1860,1510,1410,1420,1540,1950,1950,1780,1790,1700,1690,1680,1670,1360,1680,1680,1670,1570,1580,1520,1720,1740,1660,1690,1500,1640,1650,1870,1970,2800,2420
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,121,532,1950,3260,3480,3190,2970,2850,2620,2760,2820,3070,3360,3950,4580,4610,1380,1180,1290,997,1050,1400,1060,755,1290,1310,576,1770,1590,1200,1600,1230,649,1000,1100,1270,2590,3040,3680,5520,5410,5750,6570,7470,7770,8130,7890,8530,9840,8230,9210,10200,11000,11400,12200,11700,12400,11900,10900,14600,14800,14800,15600,17300,18400,18000,18600,13900,15700,16500,17500,19200,18800,26800,29800,28200,29300,28700,26700,31300,31300
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,122,134,190,994,1230,1300,1320,1340,1380,1640,1690,1900,1840,2210,2290,2520,2900,2980,3120,3180,3370,3870,3750,3810,3610,3510,4550,4660,4870,5570,5810,6020,6650,7640,7930,8600,8240,9120,10200,11500,11900,13500,13500,15500,15900,17700,17400,19000,22800,24000,25100,24000,25200,27900,32500,33700,35700,37700,39500,43500,44400,49500,53700,59900,63400,67500,69700,73200
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,7.33,3.67,3.67,3.67,3.67,,,,,3.67,,,,,,,,3.67,3.67,3.67,73.3,110,88,110,114,128,128,136,150,150,172,194,260,191,180,205,268,337,440,480,429,484,502,480,491,568,532,590,631,601,675,686,645,686,748,847,917,942,946,990,1070,1210,979,1110,748,829,851,902,1140,1210,1190,1220,1230,1270,1290,1350,1370,1360,1620,1620,1480,1530,1470,1450,1270
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479,0.575,0.384,0.479,,,,,,,,,,,,,,,,,2.97,,,,,9.01,,,12.7,13.4,17.7,22.5,20.3,21.3,23.9,22.8,72.1,82.8,68.9,93.4,101,137,140,132,160,184,229,233,305,313,367,387,407,464,471,513,526,556,580,627,710,782,827,970,988,1130,1160,1340,1500,1740,1970,2020,1950,1910,2120,1900,2160,2420,2440,2570,2520,2620,2960,3220,2910,2670,2840,2620,1040,891,813,881,1070,1190,1410,1400,2020,2520,2790,3010,4090,4910,5540,6190,7490,8470,9720,9930,10500,10600,12700,11200,7690,9820,9200,9740,10900,13200,14000,15900,17800,19300,20600,21800,23800,27000,29600,32400,34600,36400,37900,39100,41000,44000,46800,49600,52400,54800,56300,58700,61700,65500,68900,71800,74600,78400,81400,84200,87100,87800,91300,89600,91300,92600,93400,101000,101000,105000,108000,106000,99300,95700,87400,76800,65100,60800,60200,59600,58100,56100,53800,52800,52400,53500,58200,59200,62100,60500,63100,61200,63000,64100,63200,63800,63500
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200,4470,4720,4570,4410,4760,5600,6000,6130,6710,7730,7400,7690,7120,7810,8230,8970,9330,8290,8740,9340,10200,11400,11800,13100,13400,13200,13800,14500,14900,15200,16500,16400,17200,18100,19100,20500,22300,20100,21700,24800,23700,25600,28100,25900,27000,26300,25100,27300,27800,30500,30700,32500,34400,33900,33100,32100,34000,36100,36900,39900,37800,37800,36100,39900,40200,42300,43800,45100,47200,49700,46700,48900,52700,50400,50300,57500,58400,57900,57800,61300,61700,64800,68100,40600,34400,45800,36300,33800,44900,55200,50600,56000,71900,76300,78100,77700,90500,88300,97000,93800,84200,67800,72700,75000,71700,75100,90400,79200,73800,62200,65200,61100,57900,33200,38800,56500,82100,85100,80900,76300,89500,83500,82500,85800,92100,96900,96600,87800,88400,91000,92800,98100,106000,104000,105000,105000,107000,119000,124000,126000,122000,131000,139000,135000,122000,130000,127000,136000,140000,135000,124000,118000,102000,105000,104000,103000,103000,100000,107000,106000,111000,112000,108000,112000,112000,118000,115000,118000,114000,115000,115000,107000,113000,111000,109000,107000,104000,104000,99900,111000,99900,95100,97000,93400
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,25.7,25.7,29.3,29.3,29.3,29.3,29.3,40.3,40.3,44,36.7,69.7,62.3,84.3,84.3,80.7,121,103,136,121,143,158,147,154,176,176,198,216,209,191,183,172,172,172,191,205,227,249,301,312,359,356,378,374,378,308,389,370,348,396,447,433,433,392,422,444,477,436,587,539,601,477,513,495
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,103,161,128,136,121,143,150,114,143,154,202,282,293,389,381,407,444,260,297,363,367,517,429,491,455,502,744,686,539,554,631,708,821,898,1130,1270,1330,1270,1220,1210,1560,1600,1820,2080,2350,2510,2390,3870,4500,4410,4660,5090,5300,5470,5810,6320
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,3.67,7.33,11,22,22,25.7,33,29.3,51.3,62.3,55,103,110,62.3,128,187,216,183,213,249,301,392,381,385,396,385,418,378,308,396,392,392,422,389,488,733,818,920,1000
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,11,11,7.33,14.7,44,73.3,69.7,44,55,66,84.3,128,106,136,147,139,169,161,169,205,290,495,462,513,539,788,931,1110,1000,917,950,1000,1040,1100,1210,1480,1510,1690,1890,2180,2550,2490,3060,3570,3460,3520,4060,4580,4480,5030,4740,4670,4790,4350,4290,4040,4130,3780,4030,4310,4990,5760,6010,6660,7830,8640,9850,9830,10900,11000,10400,11100,8620,10400,11100,11100,12200,15100,12300,13200,14000,15200,16100,18800,18900,20400
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15100,12600,3230,3430,4260,8390,10600,10400,13800,13400,14300,14500,15600,16200,17600,17700,20200,20700,21300,23900,22300,21900,22200
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,51.3,88,187,594,781,832,942,986,1010,1100,1030,1050,1160,1070,1240,1300,1430,2700,2640,2780,3200,3030,3050,2760,2800,3340,3160,3780,3850,3980,3830,3900,4100,4140,4230,4510,3760,4690,4180,4230,5230,7030
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2510,2440,2620,2800,3210,3450,3600,3610,4200,4610,5600,6040,4110,3150,2880,2500,2320,3070,3650,2890,3780,4620,5110,5380,5480,6080,5930,6350,5520,4170,4170,4730,4630,5520,5150,6090,6100,5960,6490,6290,5870,6480,5900,6830,7470,8960,7860,7380,19700,21700,25000,25200,29700,34100,36700,36000,39100,39100,46900,49200,53700,55600,56700,56400,64300,66200,77400,84300,93800,103000,114000,132000,143000,151000,155000,163000,177000,188000,187000,172000,172000,167000,169000,181000,199000,208000,209000,214000,209000,219000,221000,231000,242000,258000,285000,301000,312000,320000,328000,337000,332000,322000,338000,347000,348000,363000,388000,367000,420000,439000,470000,504000,530000
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,44,25.7,77,205,216,2630,2960,1970,1250,1870,2500,920,946,5360,80.7,11500,414,301,323,345,359,301,297,293,319,326,334,304,370,356,341,334,491,440,429,488,8210,7520,9460,9980,8180,7080,6020,6400,9540,7440,6880,1470,2090,2710,1920,2600,2300,3320,5720,6350,6190,5310,5210,4970,4690,4790,4870,5060,5270,3910,4710,4510,4380,4590,5000,5010,4860,8420,9120,7860,8200,9700,9670,7800,9110
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,7.33,11,7.33,7.33,11,18.3,25.7,33,40.3,47.7,62.3,80.7,84.3,106,110,147,147,216,271,238,235,301,359,315,455,598,605,634,898,898,788,1180,763,924,1140,1420,836,1100,1370,1510,1610,1840,1810,1780,1820,2140,2490,2410,2280,2640,2350,2440,2480,2520,2790,3180,3490,4100,4430,5350,5820,4390,5210,4980,5910,6230,7460,7510,8170,9440,10600,11400,12100,13000,14400,15600,19600,22300,26000,30700,34400,42900,46300,48800,55200,59500,66400,61200,64300,66200,68800,71300,73100,73100,76000,81400,79200,77500,80300,90100,90400,87400,89500,91500,91600,87300,86700,74500,57500,54200,67900,54200,58000,56600,51600,49000,44000,43500,46500,44600,47300,46800,47900,49000,52300,50700,42700,44100,49300,44700,39600,42400
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,44,91.7,84.3,88,110,103,103,103,103,121,143,150,161,169,205,220,209,249,348,407,433,557,576,594,466,477,480,517,554,821,583,627,631,627,645,627,708,807,862,931,1040,997,1000,1080,1100,1130,1360,1650,1920,1930,1960,2210,2630,3060,2850
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,47.7,47.7,36.7,47.7,47.7,55,73.3,62.3,73.3,73.3,73.3,91.7,77,88,99,103,110,147,158,158,205,220,231,235,249,227,268,209,238,216,227,235,238,242,249,249,253,271,205,213,161,198,154,187,187,191,191,213,242,282,290,440
