afg-pop,18400000
ago-gdp,25700000000
ago-pop,15100000
alb-gdp,5470000000
alb-pop,3090000
and-gdp,2400000000
and-pop,64300
are-gdp,173000000000
are-pop,2700000
arg-gdp,305000000000
arg-pop,35800000
arm-gdp,3670000000
arm-pop,3130000
atg-gdp,864000000
atg-pop,77700
aus-gdp,743000000000
aus-pop,18500000
aut-gdp,303000000000
aut-pop,8030000
aze-gdp,10000000000
aze-pop,7930000
bdi-gdp,1420000000
bdi-pop,6110000
bel-gdp,376000000000
bel-pop,10200000
ben-gdp,4110000000
ben-pop,6280000
bfa-gdp,4300000000
bfa-pop,10700000
bgd-gdp,57800000000
bgd-pop,124000000
bgr-gdp,31700000000
bgr-pop,8210000
bhr-gdp,13300000000
bhr-pop,595000
bhs-gdp,8050000000
bhs-pop,287000
bih-gdp,8460000000
bih-pop,3750000
blr-gdp,23600000000
blr-pop,10100000
blz-gdp,744000000
blz-pop,222000
bol-gdp,12500000000
bol-pop,7870000
bra-gdp,1470000000000
bra-pop,168000000
brb-gdp,3810000000
brb-pop,267000
brn-gdp,11400000000
brn-pop,312000
btn-gdp,563000000
btn-pop,529000
bwa-gdp,7600000000
bwa-pop,1640000
caf-gdp,1460000000
caf-pop,3520000
can-gdp,1170000000000
can-pop,29900000
che-gdp,448000000000
che-pop,7090000
chl-gdp,132000000000
chl-pop,14700000
chn-gdp,1780000000000
chn-pop,1260000000
civ-gdp,21400000000
civ-pop,15400000
cmr-gdp,15700000000
cmr-pop,14200000
cod-gdp,15600000000
cod-pop,43800000
cog-gdp,7020000000
cog-pop,2960000
col-gdp,191000000000
col-pop,38600000
com-gdp,382000000
com-pop,502000
cpv-gdp,663000000
cpv-pop,408000
cri-gdp,21200000000
cri-pop,3680000
cub-gdp,34400000000
cub-pop,11000000
cyp-gdp,16300000000
cyp-pop,891000
cze-gdp,144000000000
cze-pop,10300000
deu-gdp,2920000000000
deu-pop,81500000
dji-pop,661000
dma-gdp,364000000
dma-pop,70800
dnk-gdp,273000000000
dnk-pop,5280000
dom-gdp,29100000000
dom-pop,8160000
dza-gdp,98100000000
dza-pop,29900000
ecu-gdp,46700000000
ecu-pop,11900000
egy-gdp,117000000000
egy-pop,66200000
eri-gdp,1970000000
eri-pop,3160000
esp-gdp,1000000000000
esp-pop,40100000
est-gdp,12400000000
est-pop,1410000
eth-gdp,12100000000
eth-pop,61000000
fin-gdp,180000000000
fin-pop,5150000
fji-gdp,2480000000
fji-pop,793000
fra-gdp,2110000000000
fra-pop,58800000
fsm-gdp,266000000
fsm-pop,109000
gab-gdp,13500000000
gab-pop,1140000
gbr-gdp,1900000000000
gbr-pop,58300000
geo-gdp,5880000000
geo-pop,4880000
gha-gdp,16200000000
gha-pop,17600000
gin-gdp,4670000000
gin-pop,8340000
gmb-gdp,562000000
gmb-pop,1130000
gnb-gdp,864000000
gnb-pop,1180000
gnq-gdp,1830000000
gnq-pop,545000
grc-gdp,226000000000
grc-pop,11000000
grd-gdp,516000000
grd-pop,101000
gtm-gdp,26300000000
gtm-pop,10900000
guy-gdp,1780000000
guy-pop,761000
hnd-gdp,9900000000
hnd-pop,6030000
hos-pop,782
hrv-gdp,44700000000
hrv-pop,4530000
hti-gdp,6190000000
hti-pop,8110000
hun-gdp,95600000000
hun-pop,10300000
idn-gdp,494000000000
idn-pop,203000000
ind-gdp,669000000000
ind-pop,997000000
irl-gdp,124000000000
irl-pop,3710000
irn-gdp,290000000000
irn-pop,62700000
irq-gdp,63200000000
irq-pop,21500000
isl-gdp,8840000000
isl-pop,273000
isr-gdp,149000000000
isr-pop,5630000
ita-gdp,1920000000000
ita-pop,57200000
jam-gdp,12400000000
jam-pop,2590000
jor-gdp,12900000000
jor-pop,4830000
jpn-gdp,5280000000000
jpn-pop,127000000
kaz-gdp,60400000000
kaz-pop,15600000
ken-gdp,24600000000
ken-pop,29000000
kgz-gdp,2870000000
kgz-pop,4710000
khm-gdp,4010000000
khm-pop,11300000
kir-gdp,131000000
kir-pop,80200
kna-gdp,515000000
kna-pop,43800
kor-gdp,620000000000
kor-pop,46200000
kwt-gdp,68900000000
kwt-pop,1720000
lao-gdp,3030000000
lao-pop,5060000
lbn-gdp,20900000000
lbn-pop,3090000
lbr-gdp,555000000
lbr-pop,2360000
lby-pop,5120000
lca-gdp,1040000000
lca-pop,151000
lie-pop,31800
lka-gdp,29600000000
lka-pop,18500000
lso-gdp,1550000000
lso-pop,1810000
ltu-gdp,22000000000
ltu-pop,3580000
lux-gdp,32700000000
lux-pop,420000
lva-gdp,14200000000
lva-pop,2450000
mar-gdp,52100000000
mar-pop,27800000
mco-pop,31300
mda-gdp,3820000000
mda-pop,4280000
mdg-gdp,5950000000
mdg-pop,14300000
mdv-gdp,1370000000
mdv-pop,264000
mex-gdp,807000000000
mex-pop,97300000
mhl-gdp,136000000
mhl-pop,51700
mkd-gdp,6220000000
mkd-pop,2000000
mli-gdp,5340000000
mli-pop,10100000
mlt-gdp,6080000000
mlt-pop,387000
mmr-gdp,12000000000
mmr-pop,44400000
mne-gdp,3060000000
